mun_code,mun_name,mun_name_simple,mun_id,reg_map,reg_name
3128907,"GUIMARÂNIA",GUIMARANIA,501,"TRIÂNGULO MINEIRO/ALTO PARANAÍBA","Alto Paranaíba"
3129301,IAPU,IAPU,789,"VALE DO RIO DOCE","Rio Doce"
3133758,"ITAÚ DE MINAS","ITAU DE MINAS",383,"SUL/SUDOESTE DE MINAS","Sul de Minas"
3147709,"PASSA TEMPO","PASSA TEMPO",560,"OESTE DE MINAS","Centro Oeste"
3159803,"SANTA VITÓRIA","SANTA VITORIA",484,"TRIÂNGULO MINEIRO/ALTO PARANAÍBA","Triângulo"
3161502,"SÃO GERALDO","SAO GERALDO",275,"ZONA DA MATA",Mata
3100807,AGUANIL,AGUANIL,522,"OESTE DE MINAS","Centro Oeste"
3101409,ALBERTINA,ALBERTINA,303,"SUL/SUDOESTE DE MINAS","Sul de Minas"
3102050,"ALTO CAPARAÓ","ALTO CAPARAO",162,"ZONA DA MATA",Mata
3102407,"ALVORADA DE MINAS","ALVORADA DE MINAS",4,"CENTRAL MINEIRA",Central
3102704,"CACHOEIRA DE PAJEÚ","CACHOEIRA DE PAJEU",695,JEQUITINHONHA,"Jequitinhonha / Mucuri"
3102852,"ANGELÂNDIA",ANGELANDIA,688,JEQUITINHONHA,"Jequitinhonha / Mucuri"
3103207,"ARAÇAÍ",ARACAI,6,"CENTRAL MINEIRA",Central
3103751,"ARAPORÃ",ARAPORA,458,"TRIÂNGULO MINEIRO/ALTO PARANAÍBA","Triângulo"
3103801,"ARAPUÁ",ARAPUA,492,"TRIÂNGULO MINEIRO/ALTO PARANAÍBA","Alto Paranaíba"
3105202,BANDEIRA,BANDEIRA,692,JEQUITINHONHA,"Jequitinhonha / Mucuri"
3106101,"BELMIRO BRAGA","BELMIRO BRAGA",173,"ZONA DA MATA",Mata
3106606,"BERTÓPOLIS",BERTOPOLIS,694,JEQUITINHONHA,"Jequitinhonha / Mucuri"
3107208,"BOCAINA DE MINAS","BOCAINA DE MINAS",315,"SUL/SUDOESTE DE MINAS","Sul de Minas"
3107604,"BOM JESUS DA PENHA","BOM JESUS DA PENHA",317,"SUL/SUDOESTE DE MINAS","Sul de Minas"
3108255,"BONITO DE MINAS","BONITO DE MINAS",600,"NORTE DE MINAS","Norte de Minas"
3109451,"CABECEIRA GRANDE","CABECEIRA GRANDE",582,"NOROESTE DE MINAS","Noroeste de Minas"
3110400,CAMACHO,CAMACHO,528,"OESTE DE MINAS","Centro Oeste"
3110806,"CAMPANÁRIO",CAMPANARIO,762,"VALE DO RIO DOCE","Rio Doce"
